wavelength,flux
2060.0,0.008448803
2065.0,0.004114899
2070.0,0.003516057
2075.0,0.010170901
2080.0,0.017227823
2085.0,0.01340379
2090.0,0.010431825
2095.0,0.007507765
2100.0,0.018487958
2105.0,0.027004346
2110.0,0.027243882
2115.0,0.022445448
2120.0,0.02523605
2125.0,0.024993092
2130.0,0.008405172
2135.0,0.021317914
2140.0,0.024734734
2145.0,0.02644229
2150.0,0.028616939
2155.0,0.024679128
2160.0,0.022602856
2165.0,0.008050146
2170.0,0.0
2175.0,0.010531917
2180.0,0.027112134
2185.0,0.029088313
2190.0,0.021182748
2195.0,0.016948935
2200.0,0.02533443
2205.0,0.023298368
2210.0,0.030316796
2215.0,0.01468788
2220.0,0.021131417
2225.0,0.023172611
2230.0,0.016048105
2235.0,0.022698672
2240.0,0.029469863
2245.0,0.028893262
2250.0,0.015859898
2255.0,0.030055871
2260.0,0.030409189
2265.0,0.017984075
2270.0,0.01341149
2275.0,0.013985524
2280.0,0.014978745
2285.0,0.011571336
2290.0,0.019980785
2295.0,0.021974929
2300.0,0.022897145
2305.0,0.020785801
2310.0,0.024262505
2315.0,0.018609438
2320.0,0.02629429
2325.0,0.03769538
2330.0,0.029383458
2335.0,0.022270927
2340.0,0.0257194
2345.0,0.021536918
2350.0,0.021488156
2355.0,0.02400158
2360.0,0.026977824
2365.0,0.025213806
2370.0,0.028738419
2375.0,0.025753621
2380.0,0.024679128
2385.0,0.021418005
2390.0,0.024586735
2395.0,0.023804817
2400.0,0.020405108
2405.0,0.019938866
2410.0,0.021369243
2415.0,0.024161557
2420.0,0.034461636
2425.0,0.042224336
2430.0,0.046279352
2435.0,0.04614162
2440.0,0.04579258
2445.0,0.038721967
2450.0,0.022898002
2455.0,0.016314162
2460.0,0.023981905
2465.0,0.027900897
2470.0,0.02669038
2475.0,0.027159186
2480.0,0.028510004
2485.0,0.023190578
2490.0,0.017701766
2495.0,0.028004412
2500.0,0.040487695
2505.0,0.040817056
2510.0,0.03556864
2515.0,0.02715149
2520.0,0.022637932
2525.0,0.021921888
2530.0,0.027771717
2535.0,0.030630762
2540.0,0.029901028
2545.0,0.032334033
2550.0,0.036341142
2555.0,0.043437418
2560.0,0.04514925
2565.0,0.052777644
2570.0,0.06406068
2575.0,0.06731838
2580.0,0.07322894
2585.0,0.06904902
2590.0,0.06473822
2595.0,0.05373322
2600.0,0.048812453
2605.0,0.047289684
2610.0,0.044995263
2615.0,0.050157283
2620.0,0.059015863
2625.0,0.054759808
2630.0,0.05831522
2635.0,0.09903304
2640.0,0.13496013
2645.0,0.13269565
2650.0,0.12525205
2655.0,0.14270401
2660.0,0.13952586
2665.0,0.1291719
2670.0,0.13582331
2675.0,0.13130891
2680.0,0.13113952
2685.0,0.13129522
2690.0,0.12205508
2695.0,0.11727633
2700.0,0.13005732
2705.0,0.13773619
2710.0,0.13064933
2715.0,0.12210043
2720.0,0.09558542
2725.0,0.10432081
2730.0,0.11186365
2735.0,0.095984936
2740.0,0.073116876
2745.0,0.065555215
2750.0,0.07424527
2755.0,0.083256125
2760.0,0.10085865
2765.0,0.119946316
2770.0,0.129787
2775.0,0.11355666
2780.0,0.093669124
2785.0,0.08091637
2790.0,0.054933473
2795.0,0.038337
2800.0,0.038866546
2805.0,0.049821075
